"Retailer","Retailer_ID","Invoice_Date","Region","State","City","Product","Price_per_Unit","Units_Sold","Total_Sale","Operating_Profit","Operating_Margin","Sales_Method"
"Foot Locker","1185732","2020-03-12","Northeast","New York","New York","Women's Street Footwear","50","950","47500","16625","35%","Outlet"
"Foot Locker","1185732","2020-03-13","Northeast","New York","New York","Women's Athletic Footwear","50","900","45000","15750","35%","Outlet"
"Foot Locker","1185732","2020-03-14","Northeast","New York","New York","Men's Apparel","60","925","55500","16650","30%","Outlet"
"Foot Locker","1185732","2020-03-15","Northeast","New York","New York","Women's Apparel","65","1100","71500","17875","25%","Outlet"
"Foot Locker","1185732","2020-03-16","Northeast","New York","New York","Men's Street Footwear","60","1250","75000","37500","50%","Outlet"
"Foot Locker","1185732","2020-03-17","Northeast","New York","New York","Men's Athletic Footwear","55","1025","56375","16912","30%","Outlet"
"Foot Locker","1185732","2020-03-18","Northeast","New York","New York","Women's Street Footwear","50","950","47500","16625","35%","Outlet"
"Foot Locker","1185732","2020-03-31","Northeast","New York","New York","Women's Athletic Footwear","50","925","46250","16187","35%","Outlet"
"Walmart","1185732","2020-04-17","Northeast","New York","New York","Men's Apparel","60","900","54000","16200","30%","Outlet"
"Walmart","1185732","2020-04-18","Northeast","New York","New York","Women's Apparel","65","1075","69875","17468","25%","Outlet"
"Walmart","1185732","2020-04-19","Northeast","New York","New York","Men's Street Footwear","60","1200","72000","36000","50%","Outlet"
"Walmart","1185732","2020-04-20","Northeast","New York","New York","Men's Athletic Footwear","55","1000","55000","16500","30%","Outlet"
"Walmart","1185732","2020-04-21","Northeast","New York","New York","Women's Street Footwear","50","925","46250","16187","35%","Outlet"
"Walmart","1185732","2020-04-22","Northeast","New York","New York","Women's Athletic Footwear","50","900","45000","15750","35%","Outlet"
"Walmart","1185732","2020-04-23","Northeast","New York","New York","Men's Apparel","60","900","54000","16200","30%","Outlet"
"Walmart","1185732","2020-04-24","Northeast","New York","New York","Women's Apparel","65","1000","65000","16250","25%","Outlet"
"Walmart","1185732","2020-04-25","Northeast","New York","New York","Men's Apparel","65","875","56875","17062","30%","Outlet"
"Walmart","1185732","2020-04-26","Northeast","New York","New York","Women's Apparel","70","1000","70000","17500","25%","Outlet"
"Walmart","1185732","2020-04-27","Northeast","New York","New York","Men's Street Footwear","65","1150","74750","37375","50%","Outlet"
"Walmart","1185732","2020-04-28","Northeast","New York","New York","Men's Athletic Footwear","55","975","53625","16087","30%","Outlet"
"Walmart","1185732","2020-04-29","Northeast","New York","New York","Women's Street Footwear","55","920","50600","17710","35%","Outlet"
"Walmart","1185732","2020-04-30","Northeast","New York","New York","Women's Athletic Footwear","55","900","49500","17325","35%","Outlet"
"Walmart","1185732","2020-05-01","Northeast","New York","New York","Men's Apparel","65","875","56875","17062","30%","Outlet"
"Walmart","1185732","2020-05-02","Northeast","New York","New York","Women's Apparel","70","975","68250","17062","25%","Outlet"
"Walmart","1185732","2020-05-03","Northeast","New York","New York","Men's Street Footwear","65","1200","78000","39000","50%","Outlet"
"Walmart","1185732","2020-05-04","Northeast","New York","New York","Men's Athletic Footwear","55","1000","55000","16500","30%","Outlet"
"Walmart","1185732","2020-05-05","Northeast","New York","New York","Women's Street Footwear","55","950","52250","18287","35%","Outlet"
"Walmart","1185732","2020-05-06","Northeast","New York","New York","Women's Athletic Footwear","55","900","49500","17325","35%","Outlet"
"Walmart","1185732","2020-05-07","Northeast","New York","New York","Men's Apparel","65","900","58500","17550","30%","Outlet"
"Walmart","1185732","2020-07-18","Northeast","New York","New York","Women's Apparel","70","1000","70000","17500","25%","Outlet"
"Sports Direct","1197831","2020-07-19","Northeast","New York","New York","Men's Street Footwear","25","900","22500","7875","35%","Outlet"
"Sports Direct","1197831","2020-07-20","Northeast","New York","New York","Men's Athletic Footwear","35","900","31500","11025","35%","Outlet"
"Sports Direct","1197831","2020-07-21","Northeast","New York","New York","Women's Street Footwear","35","700","24500","8575","35%","Outlet"
"Sports Direct","1197831","2020-07-22","Northeast","New York","New York","Women's Athletic Footwear","35","700","24500","11025","45%","Outlet"
"Sports Direct","1197831","2020-07-23","South","Texas","Houston","Men's Apparel","40","550","22000","6600","30%","Outlet"
"Sports Direct","1197831","2020-07-24","South","Texas","Houston","Women's Apparel","35","700","24500","12250","50%","Outlet"
"Sports Direct","1197831","2020-07-25","South","Texas","Houston","Men's Street Footwear","25","850","21250","7437","35%","Outlet"
"Sports Direct","1197831","2020-07-26","South","Texas","Houston","Men's Athletic Footwear","35","850","29750","10412","35%","Outlet"
"Sports Direct","1197831","2020-07-27","South","Texas","Houston","Women's Street Footwear","35","675","23625","8268","35%","Outlet"
"Sports Direct","1197831","2020-07-28","South","Texas","Houston","Women's Athletic Footwear","35","625","21875","9843","45%","Outlet"
"Sports Direct","1197831","2020-07-29","South","Texas","Houston","Men's Apparel","40","500","20000","6000","30%","Outlet"
"Sports Direct","1197831","2020-07-30","South","Texas","Houston","Women's Apparel","35","700","24500","12250","50%","Outlet"
"Sports Direct","1197831","2020-07-31","South","Texas","Houston","Men's Street Footwear","30","875","26250","9187","35%","Outlet"
"Sports Direct","1197831","2020-08-01","South","Texas","Houston","Men's Athletic Footwear","40","875","35000","12250","35%","Outlet"
"Sports Direct","1197831","2020-08-02","South","Texas","Houston","Women's Street Footwear","35","700","24500","8575","35%","Outlet"
"Sports Direct","1197831","2020-08-03","South","Texas","Houston","Women's Athletic Footwear","40","600","24000","10800","45%","Outlet"
"Sports Direct","1197831","2020-08-04","South","Texas","Houston","Men's Apparel","45","500","22500","6750","30%","Outlet"
"Sports Direct","1197831","2020-08-05","South","Texas","Houston","Women's Apparel","40","650","26000","13000","50%","Outlet"
"Sports Direct","1197831","2020-08-06","South","Texas","Houston","Men's Street Footwear","30","900","27000","9450","35%","Outlet"
"Sports Direct","1197831","2020-08-07","South","Texas","Houston","Men's Athletic Footwear","40","900","36000","12600","35%","Outlet"
"Sports Direct","1197831","2020-08-08","South","Texas","Houston","Women's Street Footwear","35","725","25375","8881","35%","Outlet"
"Sports Direct","1197831","2020-08-09","South","Texas","Houston","Women's Athletic Footwear","40","625","25000","11250","45%","Outlet"
"Walmart","1197831","2020-08-10","South","Texas","Houston","Men's Apparel","45","525","23625","7087","30%","Outlet"
"Walmart","1197831","2020-08-11","South","Texas","Houston","Women's Apparel","40","800","32000","16000","50%","Outlet"
"Walmart","1197831","2020-08-12","South","Texas","Houston","Men's Street Footwear","30","925","27750","9712","35%","Outlet"
"Walmart","1197831","2020-08-13","South","Texas","Houston","Men's Athletic Footwear","40","925","37000","12950","35%","Outlet"
"Walmart","1197831","2020-08-14","South","Texas","Houston","Women's Street Footwear","35","775","27125","9493","35%","Outlet"
"Walmart","1197831","2020-08-15","South","Texas","Houston","Women's Athletic Footwear","40","700","28000","12600","45%","Outlet"
"Walmart","1197831","2020-08-16","South","Texas","Houston","Men's Apparel","45","600","27000","8100","30%","Outlet"
"Walmart","1197831","2020-08-17","South","Texas","Houston","Women's Apparel","40","950","38000","19000","50%","Outlet"
"Walmart","1197831","2020-08-18","South","Texas","Houston","Men's Street Footwear","40","950","38000","13300","35%","Outlet"
"Walmart","1197831","2020-08-19","South","Texas","Houston","Men's Athletic Footwear","45","950","42750","14962","35%","Outlet"
"Walmart","1197831","2020-08-20","South","Texas","Houston","Women's Street Footwear","40","800","32000","11200","35%","Outlet"
"Walmart","1197831","2020-08-21","South","Texas","Houston","Women's Athletic Footwear","40","750","30000","13500","45%","Outlet"
"Walmart","1197831","2020-08-22","South","Texas","Houston","Men's Apparel","45","650","29250","8775","30%","Outlet"
"Walmart","1197831","2020-08-23","South","Texas","Houston","Women's Apparel","50","1000","50000","25000","50%","Outlet"
"Walmart","1197831","2020-08-24","South","Texas","Houston","Men's Street Footwear","40","950","38000","13300","35%","Outlet"
"Walmart","1197831","2020-08-25","South","Texas","Houston","Men's Athletic Footwear","45","950","42750","14962","35%","Outlet"
"Walmart","1197831","2020-08-26","South","Texas","Houston","Women's Street Footwear","40","1100","44000","15400","35%","Outlet"
"Walmart","1197831","2020-08-27","South","Texas","Houston","Women's Athletic Footwear","40","700","28000","12600","45%","Outlet"
"Walmart","1197831","2020-08-28","South","Texas","Houston","Men's Apparel","45","700","31500","9450","30%","Outlet"
"Walmart","1197831","2020-08-29","South","Texas","Houston","Women's Apparel","50","975","48750","24375","50%","Outlet"
"Walmart","1197831","2020-08-30","South","Texas","Houston","Men's Street Footwear","40","925","37000","12950","35%","Outlet"
"Walmart","1197831","2020-08-31","South","Texas","Houston","Men's Athletic Footwear","45","925","41625","14568","35%","Outlet"
"Walmart","1197831","2020-09-01","South","Texas","Houston","Women's Street Footwear","40","1100","44000","15400","35%","Outlet"
"Walmart","1197831","2020-09-02","South","Texas","Houston","Women's Athletic Footwear","40","650","26000","11700","45%","Outlet"
"Walmart","1197831","2020-09-03","South","Texas","Houston","Men's Apparel","45","650","29250","8775","30%","Outlet"
"Walmart","1197831","2020-09-04","South","Texas","Houston","Women's Apparel","50","900","45000","22500","50%","Outlet"
"Walmart","1197831","2020-09-05","South","Texas","Houston","Men's Street Footwear","45","850","38250","13387","35%","Outlet"
"Walmart","1197831","2020-09-06","South","Texas","Houston","Men's Athletic Footwear","45","850","38250","13387","35%","Outlet"
"Walmart","1197831","2020-09-07","South","Texas","Houston","Women's Street Footwear","50","900","45000","15750","35%","Outlet"
"Walmart","1197831","2020-09-08","South","Texas","Houston","Women's Athletic Footwear","50","625","31250","14062","45%","Outlet"
"Walmart","1197831","2020-09-09","South","Texas","Houston","Men's Apparel","45","625","28125","8437","30%","Outlet"
"Walmart","1197831","2020-09-10","South","Texas","Houston","Women's Apparel","55","850","46750","23375","50%","Outlet"
"Walmart","1197831","2020-09-11","South","Texas","Houston","Men's Street Footwear","45","800","36000","12600","35%","Outlet"
"Walmart","1197831","2020-09-12","South","Texas","Houston","Men's Athletic Footwear","45","800","36000","12600","35%","Outlet"
"Walmart","1197831","2020-09-13","South","Texas","Houston","Women's Street Footwear","50","750","37500","13125","35%","Outlet"
"Walmart","1197831","2020-09-14","South","Texas","Houston","Women's Athletic Footwear","50","600","30000","13500","45%","Outlet"
"Walmart","1197831","2020-09-15","South","Texas","Houston","Men's Apparel","45","575","25875","7762","30%","Outlet"
"Walmart","1197831","2020-09-16","South","Texas","Houston","Women's Apparel","55","750","41250","20625","50%","Outlet"
"Walmart","1197831","2020-10-20","South","Texas","Houston","Men's Street Footwear","45","900","40500","14175","35%","Outlet"
"Walmart","1197831","2020-10-21","South","Texas","Houston","Men's Athletic Footwear","45","900","40500","14175","35%","Outlet"
"Walmart","1197831","2020-10-22","South","Texas","Houston","Women's Street Footwear","50","825","41250","14437","35%","Outlet"
"Walmart","1197831","2020-10-23","South","Texas","Houston","Women's Athletic Footwear","50","675","33750","15187","45%","Outlet"
"Walmart","1197831","2020-10-24","South","Texas","Houston","Men's Apparel","45","650","29250","8775","30%","Outlet"
"Walmart","1197831","2020-10-25","South","Texas","Houston","Women's Apparel","55","850","46750","23375","50%","Outlet"
"Walmart","1197831","2020-10-26","South","Texas","Houston","Men's Street Footwear","45","950","42750","14962","35%","Outlet"
"Walmart","1197831","2020-10-27","South","Texas","Houston","Men's Athletic Footwear","45","950","42750","14962","35%","Outlet"
"Walmart","1197831","2020-10-28","South","Texas","Houston","Women's Street Footwear","50","850","42500","14875","35%","Outlet"
"Walmart","1197831","2020-10-29","South","Texas","Houston","Women's Athletic Footwear","50","700","35000","15750","45%","Outlet"
"Walmart","1197831","2020-10-30","South","Texas","Houston","Men's Apparel","45","650","29250","8775","30%","Outlet"
"Walmart","1197831","2020-10-31","South","Texas","Houston","Women's Apparel","55","900","49500","24750","50%","Outlet"
"West Gear","1128299","2020-11-01","South","Texas","Houston","Men's Street Footwear","40","775","31000","10850","35%","Outlet"
"West Gear","1128299","2020-11-02","South","Texas","Houston","Men's Athletic Footwear","50","775","38750","7750","20%","Outlet"
"West Gear","1128299","2020-11-03","South","Texas","Houston","Women's Street Footwear","50","775","38750","13562","35%","Outlet"
"West Gear","1128299","2020-11-04","South","Texas","Houston","Women's Athletic Footwear","50","625","31250","9375","30%","Outlet"
"West Gear","1128299","2020-11-05","West","California","San Francisco","Men's Apparel","55","575","31625","15812","50%","Outlet"
"West Gear","1128299","2020-11-06","West","California","San Francisco","Women's Apparel","50","775","38750","5812","15%","Outlet"
"West Gear","1128299","2020-11-07","West","California","San Francisco","Men's Street Footwear","40","825","33000","11550","35%","Outlet"
"West Gear","1128299","2020-11-08","West","California","San Francisco","Men's Athletic Footwear","50","725","36250","7250","20%","Outlet"
"West Gear","1128299","2020-11-09","West","California","San Francisco","Women's Street Footwear","50","725","36250","12687","35%","Outlet"
"West Gear","1128299","2020-11-10","West","California","San Francisco","Women's Athletic Footwear","50","575","28750","8625","30%","Outlet"
"West Gear","1128299","2020-11-11","West","California","San Francisco","Men's Apparel","55","500","27500","13750","50%","Outlet"
"West Gear","1128299","2020-11-12","West","California","San Francisco","Women's Apparel","50","700","35000","5250","15%","Outlet"
"West Gear","1128299","2020-11-13","West","California","San Francisco","Men's Street Footwear","50","850","42500","14875","35%","Outlet"
"West Gear","1128299","2020-11-14","West","California","San Francisco","Men's Athletic Footwear","60","700","42000","8400","20%","Outlet"
"West Gear","1128299","2020-11-15","West","California","San Francisco","Women's Street Footwear","60","700","42000","14700","35%","Outlet"
"West Gear","1128299","2020-12-22","West","California","San Francisco","Women's Athletic Footwear","60","600","36000","10800","30%","Outlet"
"West Gear","1128299","2020-12-23","West","California","San Francisco","Men's Apparel","65","500","32500","16250","50%","Outlet"
"West Gear","1128299","2020-12-24","West","California","San Francisco","Women's Apparel","60","700","42000","6300","15%","Outlet"
"West Gear","1128299","2020-12-25","West","California","San Francisco","Men's Street Footwear","60","875","52500","18375","35%","Outlet"
"West Gear","1128299","2020-12-26","West","California","San Francisco","Men's Athletic Footwear","65","675","43875","8775","20%","Outlet"
"West Gear","1128299","2020-12-27","West","California","San Francisco","Women's Street Footwear","65","725","47125","16493","35%","Outlet"
"West Gear","1128299","2020-12-28","West","California","San Francisco","Women's Athletic Footwear","60","625","37500","11250","30%","Outlet"
"West Gear","1128299","2020-12-29","West","California","San Francisco","Men's Apparel","65","525","34125","17062","50%","Outlet"
"West Gear","1128299","2020-12-30","West","California","San Francisco","Women's Apparel","80","700","56000","8400","15%","Outlet"
"West Gear","1128299","2020-12-31","West","California","San Francisco","Men's Street Footwear","60","900","54000","21600","40%","Outlet"
"West Gear","1128299","2021-01-01","West","California","San Francisco","Men's Athletic Footwear","65","750","48750","12187","25%","Outlet"
"West Gear","1128299","2021-01-02","West","California","San Francisco","Women's Street Footwear","65","750","48750","19500","40%","Outlet"
"West Gear","1128299","2021-01-03","West","California","San Francisco","Women's Athletic Footwear","60","650","39000","13650","35%","Outlet"
"West Gear","1128299","2021-01-04","West","California","San Francisco","Men's Apparel","65","550","35750","19662","55%","Outlet"
"West Gear","1128299","2021-01-05","West","California","San Francisco","Women's Apparel","80","725","58000","11600","20%","Outlet"
"West Gear","1128299","2021-01-06","West","California","San Francisco","Men's Street Footwear","60","975","58500","23400","40%","Outlet"
"West Gear","1128299","2021-01-07","West","California","San Francisco","Men's Athletic Footwear","65","825","53625","13406","25%","Outlet"
"West Gear","1128299","2021-01-08","West","California","San Francisco","Women's Street Footwear","65","825","53625","21450","40%","Outlet"
"West Gear","1128299","2021-01-09","West","California","San Francisco","Women's Athletic Footwear","60","700","42000","14700","35%","Outlet"
"West Gear","1128299","2021-01-10","West","California","San Francisco","Men's Apparel","65","575","37375","20556","55%","Outlet"
"West Gear","1128299","2021-01-11","West","California","San Francisco","Women's Apparel","80","875","70000","14000","20%","Outlet"
"West Gear","1128299","2021-01-12","West","California","San Francisco","Men's Street Footwear","60","1025","61500","21525","35%","Outlet"
"West Gear","1128299","2021-01-13","West","California","San Francisco","Men's Athletic Footwear","65","875","56875","11375","20%","Outlet"
"West Gear","1128299","2021-01-14","West","California","San Francisco","Women's Street Footwear","65","825","53625","18768","35%","Outlet"
"West Gear","1128299","2021-01-15","West","California","San Francisco","Women's Athletic Footwear","60","725","43500","13050","30%","Outlet"
"West Gear","1128299","2021-01-16","West","California","San Francisco","Men's Apparel","65","775","50375","25187","50%","Outlet"
"West Gear","1128299","2021-01-17","West","California","San Francisco","Women's Apparel","80","775","62000","9300","15%","Outlet"
"West Gear","1128299","2021-01-18","West","California","San Francisco","Men's Street Footwear","65","975","63375","22181","35%","Outlet"
"West Gear","1128299","2021-01-19","West","California","San Francisco","Men's Athletic Footwear","70","925","64750","12950","20%","Outlet"
"West Gear","1128299","2021-01-20","West","California","San Francisco","Women's Street Footwear","65","800","52000","18200","35%","Outlet"
"West Gear","1128299","2021-01-21","West","California","San Francisco","Women's Athletic Footwear","65","750","48750","14625","30%","Outlet"
"West Gear","1128299","2021-01-22","West","California","San Francisco","Men's Apparel","75","750","56250","28125","50%","Outlet"
"West Gear","1128299","2021-01-23","West","California","San Francisco","Women's Apparel","80","725","58000","8700","15%","Outlet"
"West Gear","1128299","2021-01-24","West","California","San Francisco","Men's Street Footwear","55","925","50875","15262","30%","Outlet"
"West Gear","1128299","2021-01-25","West","California","San Francisco","Men's Athletic Footwear","60","925","55500","8325","15%","Outlet"
"West Gear","1128299","2021-01-26","West","California","San Francisco","Women's Street Footwear","55","775","42625","12787","30%","Outlet"
"West Gear","1128299","2021-01-27","West","California","San Francisco","Women's Athletic Footwear","55","725","39875","9968","25%","Outlet"
"West Gear","1128299","2021-01-28","West","California","San Francisco","Men's Apparel","65","725","47125","21206","45%","Outlet"
"West Gear","1128299","2021-01-29","West","California","San Francisco","Women's Apparel","70","775","54250","5425","10%","Outlet"
"West Gear","1128299","2021-01-30","West","California","San Francisco","Men's Street Footwear","55","875","48125","14437","30%","Outlet"
"West Gear","1128299","2021-01-31","West","California","San Francisco","Men's Athletic Footwear","60","875","52500","7875","15%","Outlet"
"West Gear","1128299","2021-02-01","West","California","San Francisco","Women's Street Footwear","55","700","38500","11550","30%","Outlet"
"West Gear","1128299","2021-02-02","West","California","San Francisco","Women's Athletic Footwear","55","675","37125","9281","25%","Outlet"
"West Gear","1128299","2021-02-03","West","California","San Francisco","Men's Apparel","65","650","42250","19012","45%","Outlet"
"West Gear","1128299","2021-02-04","West","California","San Francisco","Women's Apparel","70","700","49000","4900","10%","Outlet"
"West Gear","1128299","2021-02-05","West","California","San Francisco","Men's Street Footwear","55","875","48125","14437","30%","Outlet"
"West Gear","1128299","2021-02-06","West","California","San Francisco","Men's Athletic Footwear","60","875","52500","7875","15%","Outlet"
"West Gear","1128299","2021-02-07","West","California","San Francisco","Women's Street Footwear","55","725","39875","11962","30%","Outlet"
"West Gear","1128299","2021-02-08","West","California","San Francisco","Women's Athletic Footwear","55","700","38500","9625","25%","Outlet"
"West Gear","1128299","2021-02-09","West","California","San Francisco","Men's Apparel","65","650","42250","19012","45%","Outlet"
"West Gear","1128299","2021-02-10","West","California","San Francisco","Women's Apparel","70","775","54250","5425","10%","Outlet"
"West Gear","1128299","2021-02-11","West","California","San Francisco","Men's Street Footwear","55","975","53625","16087","30%","Outlet"
"West Gear","1128299","2021-02-12","West","California","San Francisco","Men's Athletic Footwear","60","975","58500","8775","15%","Outlet"
"West Gear","1128299","2021-02-13","West","California","San Francisco","Women's Street Footwear","55","775","42625","12787","30%","Outlet"
"West Gear","1128299","2021-02-14","West","California","San Francisco","Women's Athletic Footwear","55","775","42625","10656","25%","Outlet"
"West Gear","1128299","2021-02-15","West","California","San Francisco","Men's Apparel","65","700","45500","20475","45%","Outlet"
"West Gear","1128299","2021-02-16","West","California","San Francisco","Women's Apparel","70","800","56000","5600","10%","Outlet"
"Kohl's","1189833","2021-02-17","West","California","San Francisco","Men's Street Footwear","35","700","24500","9800","40%","Outlet"
"Kohl's","1189833","2021-02-18","West","California","San Francisco","Men's Athletic Footwear","45","700","31500","7875","25%","Outlet"
"Kohl's","1189833","2021-03-09","West","California","San Francisco","Women's Street Footwear","45","700","31500","12600","40%","Outlet"
"Kohl's","1189833","2021-03-10","West","California","San Francisco","Women's Athletic Footwear","45","550","24750","8662","35%","Outlet"
"Kohl's","1189833","2021-03-11","West","California","Los Angeles","Men's Apparel","50","500","25000","13750","55%","Outlet"
"Kohl's","1189833","2021-03-12","West","California","Los Angeles","Women's Apparel","45","700","31500","6300","20%","Outlet"
"Kohl's","1189833","2021-03-13","West","California","Los Angeles","Men's Street Footwear","35","750","26250","10500","40%","Outlet"
"Kohl's","1189833","2021-03-14","West","California","Los Angeles","Men's Athletic Footwear","45","650","29250","7312","25%","Outlet"
"Kohl's","1189833","2021-03-15","West","California","Los Angeles","Women's Street Footwear","45","675","30375","12150","40%","Outlet"
"Kohl's","1189833","2021-03-16","West","California","Los Angeles","Women's Athletic Footwear","45","525","23625","8268","35%","Outlet"
"Kohl's","1189833","2021-03-17","West","California","Los Angeles","Men's Apparel","50","450","22500","12375","55%","Outlet"
"Kohl's","1189833","2021-03-18","West","California","Los Angeles","Women's Apparel","45","650","29250","5850","20%","Outlet"
"Kohl's","1189833","2021-03-19","West","California","Los Angeles","Men's Street Footwear","35","800","28000","11200","40%","Outlet"
"Kohl's","1189833","2021-03-20","West","California","Los Angeles","Men's Athletic Footwear","45","650","29250","7312","25%","Outlet"
"Kohl's","1189833","2021-03-21","West","California","Los Angeles","Women's Street Footwear","45","650","29250","11700","40%","Outlet"
"Kohl's","1189833","2021-03-22","West","California","Los Angeles","Women's Athletic Footwear","45","550","24750","8662","35%","Outlet"
"Kohl's","1189833","2021-03-23","West","California","Los Angeles","Men's Apparel","50","425","21250","11687","55%","Outlet"
"Kohl's","1189833","2021-04-06","West","California","Los Angeles","Women's Apparel","45","625","28125","5625","20%","Outlet"
"Kohl's","1189833","2021-04-07","West","California","Los Angeles","Men's Street Footwear","45","800","36000","14400","40%","Outlet"
"Kohl's","1189833","2021-04-08","West","California","Los Angeles","Men's Athletic Footwear","50","600","30000","7500","25%","Outlet"
"Kohl's","1189833","2021-04-09","West","California","Los Angeles","Women's Street Footwear","50","625","31250","12500","40%","Outlet"
"Kohl's","1189833","2021-04-10","West","California","Los Angeles","Women's Athletic Footwear","45","525","23625","8268","35%","Outlet"
"Kohl's","1189833","2021-04-11","West","California","Los Angeles","Men's Apparel","50","425","21250","11687","55%","Outlet"
"Kohl's","1189833","2021-04-12","West","California","Los Angeles","Women's Apparel","65","600","39000","7800","20%","Outlet"
"Kohl's","1189833","2021-04-13","West","California","Los Angeles","Men's Street Footwear","45","800","36000","14400","40%","Outlet"
"Kohl's","1189833","2021-04-14","West","California","Los Angeles","Men's Athletic Footwear","50","650","32500","8125","25%","Outlet"
"Kohl's","1189833","2021-04-15","West","California","Los Angeles","Women's Street Footwear","50","650","32500","13000","40%","Outlet"
"Kohl's","1189833","2021-04-16","West","California","Los Angeles","Women's Athletic Footwear","45","550","24750","8662","35%","Outlet"
"Kohl's","1189833","2021-04-17","West","California","Los Angeles","Men's Apparel","50","450","22500","12375","55%","Outlet"
"Kohl's","1189833","2021-04-18","West","California","Los Angeles","Women's Apparel","65","625","40625","8125","20%","Outlet"
